
//"DOTA_Tooltip_Ability_item_yasha_and_kaya"                                  "Yasha and Kaya"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya"                           "Yasha and Kaya Recipe"
"DOTA_Tooltip_Ability_item_yasha_and_kaya_3"                                "#{DOTA_Tooltip_Ability_item_yasha_and_kaya}"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya_3"                         "#{DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_bonus_intellect"                "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_bonus_agility"                  "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_spell_amp"                      "#{DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_manacost_reduction"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_manacost_reduction}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_bonus_attack_speed"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_3_movement_speed_percent_bonus"   "#{DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus}"

"DOTA_Tooltip_Ability_item_yasha_and_kaya_4"                                "#{DOTA_Tooltip_Ability_item_yasha_and_kaya}"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya_4"                         "#{DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_bonus_intellect"                "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_bonus_agility"                  "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_spell_amp"                      "#{DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_manacost_reduction"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_manacost_reduction}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_bonus_attack_speed"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_4_movement_speed_percent_bonus"   "#{DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus}"

"DOTA_Tooltip_Ability_item_yasha_and_kaya_5"                                "#{DOTA_Tooltip_Ability_item_yasha_and_kaya}"
"DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya_5"                         "#{DOTA_Tooltip_Ability_item_recipe_yasha_and_kaya}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_bonus_intellect"                "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_intellect}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_bonus_agility"                  "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_agility}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_spell_amp"                      "#{DOTA_Tooltip_ability_item_yasha_and_kaya_spell_amp}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_manacost_reduction"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_manacost_reduction}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_bonus_attack_speed"             "#{DOTA_Tooltip_ability_item_yasha_and_kaya_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_yasha_and_kaya_5_movement_speed_percent_bonus"   "#{DOTA_Tooltip_ability_item_yasha_and_kaya_movement_speed_percent_bonus}"
