//=============================================================================
// Ethereal Blade
//=============================================================================
// "DOTA_Tooltip_Ability_item_ethereal_blade"                                      "Ethereal Blade"
// "DOTA_Tooltip_Ability_item_recipe_ethereal_blade"                               "Ethereal Blade Recipe"
// "DOTA_Tooltip_ability_item_ethereal_blade_Description"                          "<h1>Active: Ether Blast</h1>Converts the target unit to ethereal form, rendering them immune to physical damage, but unable to attack and %ethereal_damage_bonus%%% more vulnerable to magic damage.<br><br>  Enemy targets are also slowed by %blast_movement_slow%%%, and take %blast_agility_multiplier%x your target's primary attribute + %blast_damage_base% as magical damage.<br><br>Range: %abilitycastrange%<br>Duration: %duration% seconds"
// "DOTA_Tooltip_ability_item_ethereal_blade_Lore"                                 "A flickering blade of a ghastly nature, it is capable of dealing damage in both magical and physical planes."
// "DOTA_Tooltip_ability_item_ethereal_blade_Note0"                                "Shares cooldown with Ghost Scepter."
// "DOTA_Tooltip_ability_item_ethereal_blade_Note1"                                "Ethereal units take %ethereal_damage_bonus%%% bonus magic damage."
// "DOTA_Tooltip_ability_item_ethereal_blade_Note2"                                "For Universal Heroes, their primary attribute is 60%% the sum of all their attributes."
// "DOTA_Tooltip_ability_item_ethereal_blade_Note3"                                "Using a Town Portal Scroll or Boots of Travel will not dispel Ethereal Form."
// "DOTA_Tooltip_ability_item_ethereal_blade_bonus_agility"                        "+$all"
// "DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana"                           "+$mana"
// "DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana_regen"                     "+$mana_regen"
// "DOTA_Tooltip_ability_item_ethereal_blade_bonus_cast_range"                     "+$cast_range"

"DOTA_Tooltip_ability_item_ethereal_blade_2_bonus_cast_range"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_ethereal_blade_3"                                    "#{DOTA_Tooltip_Ability_item_ethereal_blade}"
"DOTA_Tooltip_Ability_item_recipe_ethereal_blade_3"                             "#{DOTA_Tooltip_Ability_item_recipe_ethereal_blade}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_Description"                        "#{DOTA_Tooltip_ability_item_ethereal_blade_Description}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_Lore"                               "#{DOTA_Tooltip_ability_item_ethereal_blade_Lore}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_Note0"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note0}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_Note1"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note1}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_Note2"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note2}"
"DOTA_Tooltip_ability_item_ethereal_blade_3_Note3"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note3}"
"DOTA_Tooltip_Ability_item_ethereal_blade_3_bonus_agility"                      "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_agility}"
"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_mana"                         "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana}"
"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_mana_regen"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_ethereal_blade_3_bonus_cast_range"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_ethereal_blade_4"                                    "#{DOTA_Tooltip_Ability_item_ethereal_blade}"
"DOTA_Tooltip_Ability_item_recipe_ethereal_blade_4"                             "#{DOTA_Tooltip_Ability_item_recipe_ethereal_blade}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_Description"                        "#{DOTA_Tooltip_ability_item_ethereal_blade_Description}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_Lore"                               "#{DOTA_Tooltip_ability_item_ethereal_blade_Lore}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_Note0"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note0}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_Note1"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note1}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_Note2"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note2}"
"DOTA_Tooltip_ability_item_ethereal_blade_4_Note3"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note3}"
"DOTA_Tooltip_Ability_item_ethereal_blade_4_bonus_agility"                      "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_agility}"
"DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_mana"                         "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana}"
"DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_mana_regen"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_ethereal_blade_4_bonus_cast_range"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_cast_range}"

"DOTA_Tooltip_Ability_item_ethereal_blade_5"                                    "#{DOTA_Tooltip_Ability_item_ethereal_blade}"
"DOTA_Tooltip_Ability_item_recipe_ethereal_blade_5"                             "#{DOTA_Tooltip_Ability_item_recipe_ethereal_blade}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_Description"                        "#{DOTA_Tooltip_ability_item_ethereal_blade_Description}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_Lore"                               "#{DOTA_Tooltip_ability_item_ethereal_blade_Lore}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_Note0"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note0}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_Note1"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note1}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_Note2"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note2}"
"DOTA_Tooltip_ability_item_ethereal_blade_5_Note3"                              "#{DOTA_Tooltip_ability_item_ethereal_blade_Note3}"
"DOTA_Tooltip_Ability_item_ethereal_blade_5_bonus_agility"                      "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_agility}"
"DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_mana"                         "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana}"
"DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_mana_regen"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_mana_regen}"
"DOTA_Tooltip_ability_item_ethereal_blade_5_bonus_cast_range"                   "#{DOTA_Tooltip_ability_item_ethereal_blade_bonus_cast_range}"
