//============================================================================
// Dagon
//============================================================================
"DOTA_Tooltip_Ability_item_dagon_oaa"                                           "Dagon"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_2_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_2_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_2_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_3"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_3"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_3_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_3_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_3_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_4"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_4"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_4_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_4_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_4_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_5"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_5"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_5_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_5_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_5_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_6"                                         "Greater Dagon"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_6"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_Description"                             "<h1>Active: Big Energy Burst</h1> Emits a powerful burst of magical damage upon a targeted enemy unit and <font color='#FFA500'>blinds it for a short time</font>. Heals the caster for %burst_heal_percent%%% of the damage dealt.<br><br>Base Damage: %damage%<br><font color='#FFA500'>Current HP as Damage: %current_hp_dmg%%%</font><br><font color='#FFA500'>Blind Miss Chance: %blind_pct%%%</font><br><font color='#FFA500'>Blind Duration: %blind_duration%</font><br>Mana Cost: %mana_cost_tooltip%<br>Cooldown: %cooldown_tooltip% seconds"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_6_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_6_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_6_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_7"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa_6}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_7"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_6_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_7_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_7_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_7_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_8"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa_6}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_8"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_6_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_8_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_8_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_8_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"

"DOTA_Tooltip_Ability_item_dagon_oaa_9"                                         "#{DOTA_Tooltip_Ability_item_dagon_oaa_6}"
"DOTA_Tooltip_Ability_item_recipe_dagon_oaa_9"                                  "#{DOTA_Tooltip_Ability_item_recipe_dagon_oaa}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_Description"                             "#{DOTA_Tooltip_Ability_item_dagon_oaa_6_Description}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_Lore"                                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_Lore}"
"DOTA_Tooltip_ability_item_dagon_oaa_9_Note0"                                   "#{DOTA_Tooltip_ability_item_dagon_oaa_Note0}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_bonus_int"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_int}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_bonus_str"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_str}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_bonus_agi"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_bonus_agi}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_hero_spell_lifesteal"                    "#{DOTA_Tooltip_Ability_item_dagon_oaa_hero_spell_lifesteal}"
"DOTA_Tooltip_Ability_item_dagon_oaa_9_creep_spell_lifesteal"                   "#{DOTA_Tooltip_Ability_item_dagon_oaa_creep_spell_lifesteal}"
//"DOTA_Tooltip_Ability_item_dagon_oaa_9_spell_amp"                               "#{DOTA_Tooltip_Ability_item_dagon_oaa_spell_amp}"
