//==========================================================================================
// Urn of Sorcery
//==========================================================================================
"DOTA_Tooltip_Ability_item_urn_of_sorcery"                                      "Urn of Sorcery"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Description"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Description}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Lore"                               "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Lore}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Note0"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note0}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Note1"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note1}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Note2"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note2}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_Note3"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note3}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_bonus_all_stats"                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_mana_regen"                         "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_mana_regen}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_bonus_armor"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_armor}"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_soul_heal_amount"                   "RELEASE ALLY TOTAL HEAL:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_soul_damage_amount"                 "RELEASE ENEMY TOTAL DAMAGE:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_soul_heal_duration"                 "ENERGY RELEASE DURATION:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_soul_release_radius"                "ENERGY RELEASE RADIUS:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_aura_health_regen"                  "AURA HEALTH REGEN:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_2_aura_radius"                        "AURA RADIUS:"

"DOTA_Tooltip_Ability_item_urn_of_sorcery_3"                                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery}"
"DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery_3"                             "#{DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Description"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Description}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Lore"                               "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Lore}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Note0"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note0}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Note1"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note1}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Note2"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note2}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_Note3"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note3}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_bonus_all_stats"                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_mana_regen"                         "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_mana_regen}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_bonus_armor"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_armor}"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_soul_heal_amount"                   "RELEASE ALLY TOTAL HEAL:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_soul_damage_amount"                 "RELEASE ENEMY TOTAL DAMAGE:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_soul_heal_duration"                 "ENERGY RELEASE DURATION:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_soul_release_radius"                "ENERGY RELEASE RADIUS:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_aura_health_regen"                  "AURA HEALTH REGEN:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_3_aura_radius"                        "AURA RADIUS:"

"DOTA_Tooltip_Ability_item_urn_of_sorcery_4"                                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery}"
"DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery_4"                             "#{DOTA_Tooltip_Ability_item_recipe_urn_of_sorcery}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Description"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Description}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Lore"                               "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Lore}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Note0"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note0}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Note1"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note1}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Note2"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note2}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_Note3"                              "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_Note3}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_bonus_all_stats"                    "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_all_stats}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_mana_regen"                         "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_mana_regen}"
"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_bonus_armor"                        "#{DOTA_Tooltip_Ability_item_urn_of_sorcery_bonus_armor}"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_soul_heal_amount"                   "RELEASE ALLY TOTAL HEAL:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_soul_damage_amount"                 "RELEASE ENEMY TOTAL DAMAGE:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_soul_heal_duration"                 "ENERGY RELEASE DURATION:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_soul_release_radius"                "ENERGY RELEASE RADIUS:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_aura_health_regen"                  "AURA HEALTH REGEN:"
//"DOTA_Tooltip_Ability_item_urn_of_sorcery_4_aura_radius"                        "AURA RADIUS:"
