//=============================================================================+
// Shiva's Guard
//=============================================================================+
//"DOTA_Tooltip_ability_item_shivas_guard_Description"                            "<h1>Active: Arctic Blast</h1> Emits a freezing wave that deals %blast_damage% magical damage to enemies and slows their movement by %blast_movement_speed%%% for %blast_debuff_duration% seconds.<br><br>Radius: %blast_radius%\n\n<h1>Passive: Freezing Aura</h1> Reduces the attack speed of all enemies by %aura_attack_speed%. <br><br>Radius: %aura_radius%"
//"DOTA_Tooltip_ability_item_shivas_guard_Lore"                                   "Said to have belonged to a goddess, today it retains much of its former power."
// "DOTA_Tooltip_ability_item_shivas_guard_Note0"                                 "The wave extends at a speed of %blast_speed% to a max size of %blast_radius%."
// "DOTA_Tooltip_ability_item_shivas_guard_Note1"                                 "The Arctic Blast follows its caster."
// "DOTA_Tooltip_ability_item_shivas_guard_Note2"                                 "Multiple instances of Freezing Aura do not stack."
// "DOTA_Tooltip_ability_item_shivas_guard_Note3"                                 "AoE bonuses from multiple Chasm Stones or its upgrades do not stack."
"DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip"                       "Cooldown:"
"DOTA_Tooltip_Ability_item_shivas_guard_2_cooldown_tooltip"                     "#{DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_shivas_guard_3"                                      "#{DOTA_Tooltip_Ability_item_shivas_guard}"
"DOTA_Tooltip_Ability_item_recipe_shivas_guard_3"                               "#{DOTA_Tooltip_Ability_item_recipe_shivas_guard}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_Description"                          "#{DOTA_Tooltip_ability_item_shivas_guard_Description}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_Lore"                                 "#{DOTA_Tooltip_ability_item_shivas_guard_Lore}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_Note0"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note0}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_Note1"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note1}"
"DOTA_Tooltip_ability_item_shivas_guard_3_Note2"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note2}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_bonus_aoe"                            "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_aoe}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_bonus_armor"                          "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_armor}"
"DOTA_Tooltip_Ability_item_shivas_guard_3_cooldown_tooltip"                     "#{DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_shivas_guard_4"                                      "#{DOTA_Tooltip_Ability_item_shivas_guard}"
"DOTA_Tooltip_Ability_item_recipe_shivas_guard_4"                               "#{DOTA_Tooltip_Ability_item_recipe_shivas_guard}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_Description"                          "#{DOTA_Tooltip_ability_item_shivas_guard_Description}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_Lore"                                 "#{DOTA_Tooltip_ability_item_shivas_guard_Lore}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_Note0"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note0}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_Note1"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note1}"
"DOTA_Tooltip_ability_item_shivas_guard_4_Note2"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note2}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_bonus_aoe"                            "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_aoe}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_bonus_armor"                          "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_armor}"
"DOTA_Tooltip_Ability_item_shivas_guard_4_cooldown_tooltip"                     "#{DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip}"

"DOTA_Tooltip_Ability_item_shivas_guard_5"                                      "#{DOTA_Tooltip_Ability_item_shivas_guard}"
"DOTA_Tooltip_Ability_item_recipe_shivas_guard_5"                               "#{DOTA_Tooltip_Ability_item_recipe_shivas_guard}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_Description"                          "#{DOTA_Tooltip_ability_item_shivas_guard_Description}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_Lore"                                 "#{DOTA_Tooltip_ability_item_shivas_guard_Lore}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_Note0"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note0}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_Note1"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note1}"
"DOTA_Tooltip_ability_item_shivas_guard_5_Note2"                                "#{DOTA_Tooltip_ability_item_shivas_guard_Note2}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_bonus_aoe"                            "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_aoe}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_bonus_armor"                          "#{DOTA_Tooltip_ability_item_shivas_guard_bonus_armor}"
"DOTA_Tooltip_Ability_item_shivas_guard_5_cooldown_tooltip"                     "#{DOTA_Tooltip_Ability_item_shivas_guard_cooldown_tooltip}"
