//======================================================================
// Azazel's Elixiers
//======================================================================
"DOTA_Tooltip_Ability_item_elixier_burst_1"                                        "Burst Elixier"
"DOTA_Tooltip_Ability_item_elixier_hybrid_3_Description"                           "#{DOTA_Tooltip_Ability_item_elixier_hybrid_1_Description}"
"DOTA_Tooltip_Ability_item_elixier_hybrid_3_Lore"                                  "#{DOTA_Tooltip_Ability_item_elixier_hybrid_1_Lore}"

"DOTA_Tooltip_Ability_item_elixier_hybrid_4"                                       "#{DOTA_Tooltip_Ability_item_elixier_hybrid_1}"
"DOTA_Tooltip_Ability_item_recipe_elixier_hybrid_4"                                "#{DOTA_Tooltip_Ability_item_recipe_elixier_hybrid_1}"
"DOTA_Tooltip_Ability_item_elixier_hybrid_4_Description"                           "#{DOTA_Tooltip_Ability_item_elixier_hybrid_1_Description}"
"DOTA_Tooltip_Ability_item_elixier_hybrid_4_Lore"                                  "#{DOTA_Tooltip_Ability_item_elixier_hybrid_1_Lore}"

"DOTA_Tooltip_Ability_item_elixier_sustain_1"                                      "Sustainability Elixier"
"DOTA_Tooltip_Ability_item_recipe_elixier_sustain_1"                               "Sustainability Elixier Recipe"
"DOTA_Tooltip_Ability_item_elixier_sustain_1_Description"                          "<h1>Active: Imbibe</h1> For %bonus_duration% seconds, increases health regen by %bonus_regen%.\n\nAlso grants you %bonus_dmg_reduction%%% damage reduction while you are stunned."
"DOTA_Tooltip_Ability_item_elixier_sustain_1_Lore"                                 "A mellow concoction that protects the body and enhances its natural regeneration."

"DOTA_Tooltip_Ability_item_elixier_sustain_2"                                      "#{DOTA_Tooltip_Ability_item_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_recipe_elixier_sustain_2"                               "#{DOTA_Tooltip_Ability_item_recipe_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_elixier_sustain_2_Description"                          "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Description}"
"DOTA_Tooltip_Ability_item_elixier_sustain_2_Lore"                                 "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Lore}"

"DOTA_Tooltip_Ability_item_elixier_sustain_3"                                      "#{DOTA_Tooltip_Ability_item_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_recipe_elixier_sustain_3"                               "#{DOTA_Tooltip_Ability_item_recipe_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_elixier_sustain_3_Description"                          "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Description}"
"DOTA_Tooltip_Ability_item_elixier_sustain_3_Lore"                                 "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Lore}"

"DOTA_Tooltip_Ability_item_elixier_sustain_4"                                      "#{DOTA_Tooltip_Ability_item_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_recipe_elixier_sustain_4"                               "#{DOTA_Tooltip_Ability_item_recipe_elixier_sustain_1}"
"DOTA_Tooltip_Ability_item_elixier_sustain_4_Description"                          "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Description}"
"DOTA_Tooltip_Ability_item_elixier_sustain_4_Lore"                                 "#{DOTA_Tooltip_Ability_item_elixier_sustain_1_Lore}"
