//===================================================================
// Vladmir's Offering
//===================================================================
        "DOTA_Tooltip_ability_item_vladmir_2_hp_regen"                            "AURA HEALTH REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_2_vampiric_aura"                       "%AURA MELEE LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_2_vampiric_aura_ranged"                        "%AURA RANGED LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_2_mana_regen_aura"                     "AURA MANA REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_2_damage_aura"                         "%AURA BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_item_vladmir_2_armor_aura"                          "AURA BONUS ARMOR:"
        "DOTA_Tooltip_ability_item_vladmir_2_aura_radius"                         "AURA RADIUS:"

        "DOTA_Tooltip_Ability_item_vladmir_3"                                     "Vladmir's Offering"
        "DOTA_Tooltip_Ability_item_recipe_vladmir_3"                                     "Vladmir's Offering Recipe"
        "DOTA_Tooltip_ability_item_vladmir_3_Description"                         "Passive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
        "DOTA_Tooltip_ability_item_vladmir_3_Lore"                                "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_3_Note0"                               "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
        "DOTA_Tooltip_ability_item_vladmir_3_bonus_all_stats"                     "+$all"
        "DOTA_Tooltip_ability_item_vladmir_3_hp_regen"                            "AURA HEALTH REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_3_vampiric_aura"                       "%AURA MELEE LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_3_vampiric_aura_ranged"                        "%AURA RANGED LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_3_mana_regen_aura"                     "AURA MANA REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_3_damage_aura"                         "%AURA BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_item_vladmir_3_armor_aura"                          "AURA BONUS ARMOR:"
        "DOTA_Tooltip_ability_item_vladmir_3_aura_radius"                         "AURA RADIUS:"

        "DOTA_Tooltip_Ability_item_vladmir_4"                                     "Vladmir's Offering"
        "DOTA_Tooltip_Ability_item_recipe_vladmir_4"                                     "Vladmir's Offering Recipe"
        "DOTA_Tooltip_ability_item_vladmir_4_Description"                         "Passive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
        "DOTA_Tooltip_ability_item_vladmir_4_Lore"                                "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_4_Note0"                               "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
        "DOTA_Tooltip_ability_item_vladmir_4_bonus_all_stats"                     "+$all"
        "DOTA_Tooltip_ability_item_vladmir_4_hp_regen"                            "AURA HEALTH REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_4_vampiric_aura"                       "%AURA MELEE LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_4_vampiric_aura_ranged"                        "%AURA RANGED LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_4_mana_regen_aura"                     "AURA MANA REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_4_damage_aura"                         "%AURA BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_item_vladmir_4_armor_aura"                          "AURA BONUS ARMOR:"
        "DOTA_Tooltip_ability_item_vladmir_4_aura_radius"                         "AURA RADIUS:"

        "DOTA_Tooltip_Ability_item_vladmir_5"                                     "Vladmir's Offering"
        "DOTA_Tooltip_Ability_item_recipe_vladmir_5"                                     "Vladmir's Offering Recipe"
        "DOTA_Tooltip_ability_item_vladmir_5_Description"                         "Passive: Vladmir's Aura - Grants lifesteal, health regeneration, mana regeneration, bonus attack damage, and armor to allies in a %aura_radius% radius.  The lifesteal percentage is based on whether the hero affected by the aura is melee or ranged.\n\nMultiple instances of Vladmir's Aura do not stack."
        "DOTA_Tooltip_ability_item_vladmir_5_Lore"                                "An eerie mask that is haunted with the malice of a fallen vampire."
        "DOTA_Tooltip_ability_item_vladmir_5_Note0"                               "Does not stack with armor auras from Ring of Basilius, Ring of Aquila, or Vladmir's Offering."
        "DOTA_Tooltip_ability_item_vladmir_5_bonus_all_stats"                     "+$all"
        "DOTA_Tooltip_ability_item_vladmir_5_hp_regen"                            "AURA HEALTH REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_5_vampiric_aura"                       "%AURA MELEE LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_5_vampiric_aura_ranged"                        "%AURA RANGED LIFESTEAL:"
        "DOTA_Tooltip_ability_item_vladmir_5_mana_regen_aura"                     "AURA MANA REGEN:"
        "DOTA_Tooltip_ability_item_vladmir_5_damage_aura"                         "%AURA BONUS ATTACK DAMAGE:"
        "DOTA_Tooltip_ability_item_vladmir_5_armor_aura"                          "AURA BONUS ARMOR:"
        "DOTA_Tooltip_ability_item_vladmir_5_aura_radius"                         "AURA RADIUS:"

