//==========================================================================
// Black King Bar
//==========================================================================

//"DOTA_Tooltip_Ability_item_black_king_bar"                                      "Black King Bar"
//"DOTA_Tooltip_Ability_item_recipe_black_king_bar"                               "Black King Bar Recipe"
//"DOTA_Tooltip_ability_item_black_king_bar_Description"                          "<h1>Active: Avatar</h1> Applies a basic dispel. Grants %magic_resist%%% Magic resistance and immunity to pure and reflected damage. For the duration of the effect, any negative effect from enemy spells has no effect. <br><br>Duration: %duration% <br>Dispel Type: <span class=\"GameplayValues GameplayVariable\">Basic Dispel</span>"
//"DOTA_Tooltip_ability_item_black_king_bar_Lore"                                 "A powerful staff imbued with the strength of giants."
//"DOTA_Tooltip_ability_item_black_king_bar_Note0"                                "Purchasing another Black King Bar will not reset its immunity duration."
//"DOTA_Tooltip_ability_item_black_king_bar_Note1"                                "Abilities that pierce magic immunity will work fully even when Avatar is activated"
//"DOTA_Tooltip_ability_item_black_king_bar_bonus_strength"                       "+$str"
//"DOTA_Tooltip_ability_item_black_king_bar_bonus_damage"                         "+$damage"

"DOTA_Tooltip_Ability_item_black_king_bar_1"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar}"
"DOTA_Tooltip_Ability_item_black_king_bar_2"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar_1}"
"DOTA_Tooltip_Ability_item_recipe_black_king_bar_2"                             "#{DOTA_Tooltip_Ability_item_recipe_black_king_bar_1}"
"DOTA_Tooltip_ability_item_black_king_bar_2_Description"                        "#{DOTA_Tooltip_ability_item_black_king_bar_1_Description}"
"DOTA_Tooltip_ability_item_black_king_bar_2_Lore"                               "#{DOTA_Tooltip_ability_item_black_king_bar_1_Lore}"
"DOTA_Tooltip_ability_item_black_king_bar_2_Note0"                              "#{DOTA_Tooltip_ability_item_black_king_bar_1_Note0}"
"DOTA_Tooltip_ability_item_black_king_bar_2_bonus_strength"                     "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_strength}"
"DOTA_Tooltip_ability_item_black_king_bar_2_bonus_damage"                       "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_black_king_bar_3"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar_1}"
"DOTA_Tooltip_Ability_item_recipe_black_king_bar_3"                             "#{DOTA_Tooltip_Ability_item_recipe_black_king_bar_1}"
"DOTA_Tooltip_ability_item_black_king_bar_3_Description"                        "#{DOTA_Tooltip_ability_item_black_king_bar_1_Description}"
"DOTA_Tooltip_ability_item_black_king_bar_3_Lore"                               "#{DOTA_Tooltip_ability_item_black_king_bar_1_Lore}"
"DOTA_Tooltip_ability_item_black_king_bar_3_Note0"                              "#{DOTA_Tooltip_ability_item_black_king_bar_1_Note0}"
"DOTA_Tooltip_ability_item_black_king_bar_3_bonus_strength"                     "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_strength}"
"DOTA_Tooltip_ability_item_black_king_bar_3_bonus_damage"                       "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_black_king_bar_4"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar_1}"
"DOTA_Tooltip_Ability_item_recipe_black_king_bar_4"                             "#{DOTA_Tooltip_Ability_item_recipe_black_king_bar_1}"
"DOTA_Tooltip_ability_item_black_king_bar_4_Description"                        "#{DOTA_Tooltip_ability_item_black_king_bar_3_Description}"
"DOTA_Tooltip_ability_item_black_king_bar_4_Lore"                               "#{DOTA_Tooltip_ability_item_black_king_bar_1_Lore}"
"DOTA_Tooltip_ability_item_black_king_bar_4_Note0"                              "#{DOTA_Tooltip_ability_item_black_king_bar_1_Note0}"
"DOTA_Tooltip_ability_item_black_king_bar_4_bonus_strength"                     "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_strength}"
"DOTA_Tooltip_ability_item_black_king_bar_4_bonus_damage"                       "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_damage}"

"DOTA_Tooltip_Ability_item_black_king_bar_5"                                    "#{DOTA_Tooltip_Ability_item_black_king_bar_1}"
"DOTA_Tooltip_Ability_item_recipe_black_king_bar_5"                             "#{DOTA_Tooltip_Ability_item_recipe_black_king_bar_1}"
"DOTA_Tooltip_ability_item_black_king_bar_5_Description"                        "#{DOTA_Tooltip_ability_item_black_king_bar_3_Description}"
"DOTA_Tooltip_ability_item_black_king_bar_5_Lore"                               "#{DOTA_Tooltip_ability_item_black_king_bar_1_Lore}"
"DOTA_Tooltip_ability_item_black_king_bar_5_Note0"                              "#{DOTA_Tooltip_ability_item_black_king_bar_1_Note0}"
"DOTA_Tooltip_ability_item_black_king_bar_5_bonus_strength"                     "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_strength}"
"DOTA_Tooltip_ability_item_black_king_bar_5_bonus_damage"                       "#{DOTA_Tooltip_ability_item_black_king_bar_1_bonus_damage}"
