//==============================================================================
// Spell Breaker
//==============================================================================
//"DOTA_Tooltip_Ability_item_recipe_mage_slayer"                                  "Mage Slayer Recipe"
//"DOTA_Tooltip_Ability_item_mage_slayer"                                         "Mage Slayer"
//"DOTA_Tooltip_ability_item_mage_slayer_Description"                             "<h1>Passive: Mage Slayer</h1>Places a debuff when you attack enemies, dealing %dps% damage per second and causing them to do %spell_amp_debuff%%% less spell damage for %duration% seconds."
//"DOTA_Tooltip_ability_item_mage_slayer_Lore"                                    "Forged by a secret order in The Third Age of Praxa'cia to fell the False King."
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_magical_armor"                     "%+$spell_resist"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_attack_speed"                      "+$attack"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_damage"                            "+$damage"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_mana_regen"                        "+$mana_regen"
//"DOTA_Tooltip_ability_item_mage_slayer_bonus_intellect"                         "+$int"

//"DOTA_Tooltip_modifier_item_mage_slayer_debuff"                                 "Mage Slayer"
"DOTA_Tooltip_modifier_item_mage_slayer_debuff_Description"                     "Takes damage over time. Reduced spell damage by %dMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%."
"DOTA_Tooltip_Ability_item_recipe_spell_breaker_2"                              "#{DOTA_Tooltip_Ability_item_recipe_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_2"                                     "#{DOTA_Tooltip_Ability_item_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_2_Description"                         "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Description}"
"DOTA_Tooltip_Ability_item_spell_breaker_2_Lore"                                "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Lore}"
"DOTA_Tooltip_ability_item_spell_breaker_2_bonus_magical_armor"                 "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_magical_armor}"
"DOTA_Tooltip_ability_item_spell_breaker_2_bonus_attack_speed"                  "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_spell_breaker_2_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_spell_breaker_2_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_spell_breaker_2_bonus_attack_damage"                 "#{DOTA_Tooltip_Ability_item_spell_breaker_1_bonus_attack_damage}"

"DOTA_Tooltip_Ability_item_recipe_spell_breaker_3"                              "#{DOTA_Tooltip_Ability_item_recipe_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_3"                                     "#{DOTA_Tooltip_Ability_item_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_3_Description"                         "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Description}"
"DOTA_Tooltip_Ability_item_spell_breaker_3_Lore"                                "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Lore}"
"DOTA_Tooltip_ability_item_spell_breaker_3_bonus_magical_armor"                 "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_magical_armor}"
"DOTA_Tooltip_ability_item_spell_breaker_3_bonus_attack_speed"                  "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_spell_breaker_3_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_spell_breaker_3_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_spell_breaker_3_bonus_attack_damage"                 "#{DOTA_Tooltip_Ability_item_spell_breaker_1_bonus_attack_damage}"

"DOTA_Tooltip_Ability_item_recipe_spell_breaker_4"                              "#{DOTA_Tooltip_Ability_item_recipe_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_4"                                     "#{DOTA_Tooltip_Ability_item_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_4_Description"                         "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Description}"
"DOTA_Tooltip_Ability_item_spell_breaker_4_Lore"                                "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Lore}"
"DOTA_Tooltip_ability_item_spell_breaker_4_bonus_magical_armor"                 "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_magical_armor}"
"DOTA_Tooltip_ability_item_spell_breaker_4_bonus_attack_speed"                  "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_spell_breaker_4_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_spell_breaker_4_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_spell_breaker_4_bonus_attack_damage"                 "#{DOTA_Tooltip_Ability_item_spell_breaker_1_bonus_attack_damage}"

"DOTA_Tooltip_Ability_item_recipe_spell_breaker_5"                              "#{DOTA_Tooltip_Ability_item_recipe_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_5"                                     "#{DOTA_Tooltip_Ability_item_spell_breaker_1}"
"DOTA_Tooltip_Ability_item_spell_breaker_5_Description"                         "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Description}"
"DOTA_Tooltip_Ability_item_spell_breaker_5_Lore"                                "#{DOTA_Tooltip_Ability_item_spell_breaker_1_Lore}"
"DOTA_Tooltip_ability_item_spell_breaker_5_bonus_magical_armor"                 "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_magical_armor}"
"DOTA_Tooltip_ability_item_spell_breaker_5_bonus_attack_speed"                  "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_attack_speed}"
"DOTA_Tooltip_ability_item_spell_breaker_5_bonus_intellect"                     "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_intellect}"
"DOTA_Tooltip_ability_item_spell_breaker_5_bonus_mana_regen"                    "#{DOTA_Tooltip_ability_item_spell_breaker_1_bonus_mana_regen}"
"DOTA_Tooltip_Ability_item_spell_breaker_5_bonus_attack_damage"                 "#{DOTA_Tooltip_Ability_item_spell_breaker_1_bonus_attack_damage}"

"DOTA_Tooltip_modifier_item_spell_breaker_silence"                              "Silence"
"DOTA_Tooltip_modifier_item_spell_breaker_active"                               "#{DOTA_Tooltip_Ability_item_spell_breaker_1}"
"DOTA_Tooltip_modifier_item_spell_breaker_active_Description"                   "Reduced spell lifesteal and AoE of spells."
