//=================================================================================
// Manta Style
//=================================================================================
"DOTA_Tooltip_Ability_item_manta_1"                                             "Manta Style"
"DOTA_Tooltip_Ability_item_recipe_manta_3"                                      "#{DOTA_Tooltip_Ability_item_recipe_manta_1}"
"DOTA_Tooltip_Ability_item_manta_3_Description"                                 "#{DOTA_Tooltip_Ability_item_manta_1_Description}"
"DOTA_Tooltip_Ability_item_manta_3_Lore"                                        "#{DOTA_Tooltip_Ability_item_manta_1_Lore}"
"DOTA_Tooltip_Ability_item_manta_3_Note0"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note0}"
"DOTA_Tooltip_Ability_item_manta_3_Note1"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note1}"
"DOTA_Tooltip_ability_item_manta_3_Note2"                                       "#{DOTA_Tooltip_ability_item_manta_1_Note2}"
"DOTA_Tooltip_Ability_item_manta_3_bonus_agility"                               "#{DOTA_Tooltip_Ability_item_manta_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_manta_3_bonus_strength"                              "#{DOTA_Tooltip_Ability_item_manta_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_manta_3_bonus_intellect"                             "#{DOTA_Tooltip_Ability_item_manta_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_manta_3_bonus_attack_speed"                          "#{DOTA_Tooltip_Ability_item_manta_1_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_manta_3_bonus_movement_speed"                        "#{DOTA_Tooltip_Ability_item_manta_1_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_manta_4"                                             "#{DOTA_Tooltip_Ability_item_manta_1}"
"DOTA_Tooltip_Ability_item_recipe_manta_4"                                      "#{DOTA_Tooltip_Ability_item_recipe_manta_1}"
"DOTA_Tooltip_Ability_item_manta_4_Description"                                 "#{DOTA_Tooltip_Ability_item_manta_1_Description}"
"DOTA_Tooltip_Ability_item_manta_4_Lore"                                        "#{DOTA_Tooltip_Ability_item_manta_1_Lore}"
"DOTA_Tooltip_Ability_item_manta_4_Note0"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note0}"
"DOTA_Tooltip_Ability_item_manta_4_Note1"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note1}"
"DOTA_Tooltip_ability_item_manta_4_Note2"                                       "#{DOTA_Tooltip_ability_item_manta_1_Note2}"
"DOTA_Tooltip_Ability_item_manta_4_bonus_agility"                               "#{DOTA_Tooltip_Ability_item_manta_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_manta_4_bonus_strength"                              "#{DOTA_Tooltip_Ability_item_manta_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_manta_4_bonus_intellect"                             "#{DOTA_Tooltip_Ability_item_manta_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_manta_4_bonus_attack_speed"                          "#{DOTA_Tooltip_Ability_item_manta_1_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_manta_4_bonus_movement_speed"                        "#{DOTA_Tooltip_Ability_item_manta_1_bonus_movement_speed}"

"DOTA_Tooltip_Ability_item_manta_5"                                             "#{DOTA_Tooltip_Ability_item_manta_1}"
"DOTA_Tooltip_Ability_item_recipe_manta_5"                                      "#{DOTA_Tooltip_Ability_item_recipe_manta_1}"
"DOTA_Tooltip_Ability_item_manta_5_Description"                                 "#{DOTA_Tooltip_Ability_item_manta_1_Description}"
"DOTA_Tooltip_Ability_item_manta_5_Lore"                                        "#{DOTA_Tooltip_Ability_item_manta_1_Lore}"
"DOTA_Tooltip_Ability_item_manta_5_Note0"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note0}"
"DOTA_Tooltip_Ability_item_manta_5_Note1"                                       "#{DOTA_Tooltip_Ability_item_manta_1_Note1}"
"DOTA_Tooltip_ability_item_manta_5_Note2"                                       "#{DOTA_Tooltip_ability_item_manta_1_Note2}"
"DOTA_Tooltip_Ability_item_manta_5_bonus_agility"                               "#{DOTA_Tooltip_Ability_item_manta_1_bonus_agility}"
"DOTA_Tooltip_Ability_item_manta_5_bonus_strength"                              "#{DOTA_Tooltip_Ability_item_manta_1_bonus_strength}"
"DOTA_Tooltip_Ability_item_manta_5_bonus_intellect"                             "#{DOTA_Tooltip_Ability_item_manta_1_bonus_intellect}"
"DOTA_Tooltip_Ability_item_manta_5_bonus_attack_speed"                          "#{DOTA_Tooltip_Ability_item_manta_1_bonus_attack_speed}"
"DOTA_Tooltip_Ability_item_manta_5_bonus_movement_speed"                        "#{DOTA_Tooltip_Ability_item_manta_1_bonus_movement_speed}"
