"npc_dota_hero_sohei"                                                           "Sohei"
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note0"                              "Cannot hit invisible and ethereal (attack-immune) units."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note1"                              "Momentum Strike can hit units behind Sohei if they are too close to him."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note2"                              "Momentum Strike will not do damage if Sohei is disarmed."
"DOTA_Tooltip_Ability_sohei_momentum_strike_Note3"                              "Momentum Strike hit applies attack modifiers and has True Strike."
"DOTA_Tooltip_Ability_sohei_momentum_strike_max_travel_distance"                "RANGE:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_knockback_distance"                 "KNOCKBACK DISTANCE:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_knockback_speed"                    "KNOCKBACK SPEED:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_crit_damage"                        "%CRIT DAMAGE:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_movement_slow"                      "%MOVE SPEED SLOW:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_slow_duration"                      "SLOW DURATION:"
"DOTA_Tooltip_Ability_sohei_momentum_strike_stun_duration"                      "STUN DURATION:"

"DOTA_Tooltip_Ability_sohei_flurry_of_blows"                                    "Flurry of Blows"
//"DOTA_Tooltip_Ability_sohei_flurry_of_blows_description"                        "CHANNELED - Sohei becomes invulnerable, randomly attacking one target at a time in a selected area with the intention of pushing them back into the epicenter. Each hit triggers Momentum. Ends after either the duration or the maximum amount of attacks have run out."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Description"                        "Sohei briefly becomes rooted and invulnerable, and after a delay attacks every enemy unit in the targeted area of effect at the same time with bonus damage. Some abilities and items can be used while Flurry of Blows is active."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Lore"                               "Offensive ki feature created through meditation."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Note0"                              "Targets are determined after a delay."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Note1"                              "Any attack modifier that Sohei has will be applied normally."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Note2"                              "Flurry of Blows' attack will not work if Sohei is disarmed."
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_Note3"                              "Flurry of Blows' attack can crit if a target has Momentum Strike knockback."
//"DOTA_Tooltip_Ability_sohei_flurry_of_blows_max_attacks"                        "ATTACKS:"
//"DOTA_Tooltip_Ability_sohei_flurry_of_blows_attack_interval"                    "ATTACK INTERVAL:"
//"DOTA_Tooltip_Ability_sohei_flurry_of_blows_max_duration"                       "MAX DURATION:"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_bonus_damage"                       "BONUS DAMAGE:"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_flurry_radius"                      "RADIUS:"
"DOTA_Tooltip_Ability_sohei_flurry_of_blows_delay"                              "DELAY:"

"DOTA_Tooltip_Ability_sohei_palm_of_life"                                       "Palm of Life"
"DOTA_Tooltip_Ability_sohei_palm_of_life_description"                           "Consumes a Dash charge to dash to an ally. If cast while Momentum is ready, it is discharged upon reaching the ally to heal them for a portion of Sohei's current health."
"DOTA_Tooltip_Ability_sohei_palm_of_life_hp_as_heal"                            "%CURRENT HEALTH AS HEAL:"
"DOTA_Tooltip_Ability_sohei_palm_of_life_dash_speed"                            "DASH SPEED:"
"DOTA_Tooltip_Ability_sohei_palm_of_life_Lore"                                  "Healing is more prevalent than damaging for monks like Takuan."

// modifiers
"DOTA_Tooltip_modifier_sohei_dash_charges"                                      "Dash Charges"
"DOTA_Tooltip_modifier_sohei_dash_slow"                                         "Dash Slow"
"DOTA_Tooltip_modifier_sohei_dash_slow_Description"                             "Movement Speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

"DOTA_Tooltip_modifier_sohei_guard_reflect"                                     "Guard"
"DOTA_Tooltip_modifier_sohei_guard_reflect_description"                         "Reflects incoming projectiles"

"DOTA_Tooltip_modifier_sohei_wholeness_of_body_buff"                            "Wholeness of Body"
"DOTA_Tooltip_modifier_sohei_wholeness_of_body_buff_Description"                "Magic resistance increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%. Applied heal when it expires or when purged."

"DOTA_Tooltip_modifier_sohei_momentum_passive"                                  "Momentum"
"DOTA_Tooltip_modifier_sohei_momentum_passive_description"                      "The next attack will deal bonus damage and knockback"

"DOTA_Tooltip_modifier_sohei_momentum_strike_slow"                              "Momentum Strike Slow"
"DOTA_Tooltip_modifier_sohei_momentum_strike_slow_Description"                  "Movement Speed slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%."

// talents
"DOTA_Tooltip_Ability_special_bonus_sohei_stun"                                 "+{s:value}s Momentum Strike Stun"

"DOTA_Tooltip_Ability_special_bonus_sohei_dash_invulnerable"                    "Dash Invulnerability"
"DOTA_Tooltip_Ability_special_bonus_sohei_dash_invulnerable_Description"        "Sohei is invulnerable during Dash and disjoints projectiles."

"DOTA_Tooltip_Ability_special_bonus_sohei_dash_recharge"                        "-{s:value}s Dash Charge Restore Time"

"DOTA_Tooltip_Ability_special_bonus_sohei_fob_radius"                           "+{s:value} Flurry of Blows AoE"

"DOTA_Tooltip_Ability_special_bonus_sohei_momentum_strike_crit"                 "+{s:value}% Momentum Strike Crit"

"DOTA_Tooltip_Ability_special_bonus_sohei_wholeness_knockback"                  "Wholeness of Body Pushes Away Enemies"
"DOTA_Tooltip_Ability_special_bonus_sohei_wholeness_knockback_Description"      "Whenever Wholeness of Body is applied, push all nearby enemies with Momentum Strike knockback."

