"npc_dota_hero_eul"                                                             "Eul"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_1_oaa"                           "+{s:bonus_damage} Hurricane Damage"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_2_oaa"                           "Hurricane Dispels Target"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_3_oaa"                           "-{s:bonus_AbilityCooldown}s Wind Control Cooldown"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_4_oaa"                           "Typhoon Grants Wind Control to Allies and Self"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_5_oaa"                           "+{s:bonus_max_hp_heal_per_tornado}% Max HP Heal per Tornado"
"DOTA_Tooltip_Ability_special_bonus_unique_eul_6_oaa"                           "Intelligence Grants Attack Damage"

// facets
"DOTA_Tooltip_facet_eul_tornado_barrier"                                        "Tornado Barrier"
"DOTA_Tooltip_facet_eul_tornado_barrier_Description"                            "Wind Control active grants an all damage barrier."
"DOTA_Tooltip_facet_eul_ventus"                                                 "Ventus"
"DOTA_Tooltip_facet_eul_ventus_Description"                                     "Wind Control active re-directs all attack projectiles aimed at Eul and his allies towards the closest enemy. Redirected attack projectiles are slowed."
"DOTA_Tooltip_facet_eul_displacement"                                           "Displacement"
"DOTA_Tooltip_facet_eul_displacement_Description"                               "Tornado Collector causes Eul to vanish and reappear at another nearby location, damaging all nearby enemies."
