"npc_dota_hero_shopkeeper"                                                      "Shopkeeper"
"DOTA_Tooltip_modifier_shopkeeper_hakoware_item_mute"                           "Bankruptcy"
"DOTA_Tooltip_modifier_shopkeeper_hakoware_item_mute_description"               "Cannot use items."

// Ability 3
"DOTA_Tooltip_ability_shopkeeper_ability_3"                                     "Just Business"
"DOTA_Tooltip_ability_shopkeeper_ability_3_description"                         "Turns all heroes in an area into random items, making them Stunned, Disarmed, Rooted, Untargetable and Pseudo-Invulnerable. Non-hero enemies take damage immediately. Enemy heroes take damage when the effect ends."
"DOTA_Tooltip_ability_shopkeeper_ability_3_radius"                              "RADIUS:"
"DOTA_Tooltip_ability_shopkeeper_ability_3_duration"                            "DURATION:"
"DOTA_Tooltip_ability_shopkeeper_ability_3_damage"                              "DAMAGE:"
"DOTA_Tooltip_ability_shopkeeper_ability_3_Lore"                                "Sometimes the best way to handle an unruly customer is to turn them into merchandise."

// Ability 3 Modifier
"DOTA_Tooltip_modifier_shopkeeper_ability_3_debuff"                             "Just Business"
"DOTA_Tooltip_modifier_shopkeeper_ability_3_debuff_description"                 "Turned into an item. Stunned"

// Ultimate Ability
"DOTA_Tooltip_ability_shopkeeper_all_in"                                        "All In"
"DOTA_Tooltip_ability_shopkeeper_all_in_description"                            "Spends all your gold to apply a <b>Strong Dispel</b> and create a shield on a target ally. <br><br>The shield blocks damage based on %conversion_rate%%% of the gold spent, up to a maximum. Grants <b>Debuff Immunity</b> while the shield holds."
"DOTA_Tooltip_ability_shopkeeper_all_in_duration"                               "DURATION:"
"DOTA_Tooltip_ability_shopkeeper_all_in_conversion_rate"                        "%GOLD TO SHIELD:"
"DOTA_Tooltip_ability_shopkeeper_all_in_shield_max_value"                       "MAX SHIELD:"
"DOTA_Tooltip_ability_shopkeeper_all_in_Lore"                                   "When the stakes are highest, the Shopkeeper invests everything to protect his assets."

// Ultimate Modifier
"DOTA_Tooltip_modifier_shopkeeper_all_in_shield"                                "All In"
"DOTA_Tooltip_modifier_shopkeeper_all_in_shield_description"                    "Absorbs damage and grants Debuff Immunity."

// Scepter Ability (Vagabond)
"DOTA_Tooltip_ability_shopkeeper_vagabond"                                      "Vagabond"
"DOTA_Tooltip_ability_shopkeeper_vagabond_description"                          "For the next %duration% seconds, your gold cannot drop below %threshold_percent%%% of the gold you had when casting this ability."
"DOTA_Tooltip_ability_shopkeeper_vagabond_duration"                             "DURATION:"
"DOTA_Tooltip_ability_shopkeeper_vagabond_threshold_percent"                    "%GOLD THRESHOLD:"
"DOTA_Tooltip_ability_shopkeeper_vagabond_Lore"                                 "Even when wandering the lanes, the Shopkeeper ensures his pockets are never truly empty."

// Scepter Modifier
"DOTA_Tooltip_modifier_shopkeeper_vagabond"                                     "Vagabond"
"DOTA_Tooltip_modifier_shopkeeper_vagabond_description"                         "Gold cannot drop below %dMODIFIER_PROPERTY_TOOLTIP%."

// Shard Ability
"DOTA_Tooltip_ability_shopkeeper_ability_shard"                                 "Liquidation"
"DOTA_Tooltip_ability_shopkeeper_ability_shard_description"                     "Whenever a hero within %radius% radius uses an active item, Shopkeeper's ability cooldowns are reduced by %cooldown_reduction% seconds."
"DOTA_Tooltip_ability_shopkeeper_ability_shard_Lore"                            "Every transaction strengthens the Shopkeeper's hand."
"DOTA_Tooltip_ability_shopkeeper_ability_shard_radius"                          "RADIUS:"
"DOTA_Tooltip_ability_shopkeeper_ability_shard_cooldown_reduction"              "COOLDOWN REDUCTION:"

// Talents
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_1"                        "-{s:bonus_AbilityChargeRestoreTime}s Healing Salve Charge Restore Time"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_2"                        "Wealthstrike Attacks Don't Cost Gold"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_3"                        "+{s:bonus_duration}s All In Duration"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_4"                        "+{s:bonus_heal} Healing Salve Heal"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_5"                        "-20s All In Cooldown"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_6"                        "Hakoware Undispellable"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_7"                        "+{s:bonus_distance_damage} Wealthstrike Damage"
"DOTA_Tooltip_ability_special_bonus_unique_shopkeeper_8"                        "+{s:bonus_mute_duration}s Hakoware Mute Duration"
