"npc_dota_hero_bubble_witch"                                                    "Bubble Witch"
"DOTA_Tooltip_modifier_bubble_witch_magic_bubble_buff"                          "Magic Bubble"
"DOTA_Tooltip_modifier_bubble_witch_magic_bubble_buff_Description"              "Free-pathing and reduced move speed."

"DOTA_Tooltip_ability_bubble_witch_blow_bubbles"                                "Blow Bubbles"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_Description"                    "Blows bubbles in front of you that slow and damage enemies but grant all-damage shield and move speed to allies. Bubbles will also extend the durations of Bubble Snare debuff and Magic Bubble buff. Caster's facing is locked for the duration of this spell but it can attack and cast other spells normally."
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_duration"                       "DURATION:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_shield_per_second"              "ALLY SHIELD PER SECOND:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_dps"                            "ENEMY DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_move_speed_increase_per_second"  "%ALLY MOVE SPEED BONUS PER SECOND:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_move_speed_slow_per_second"     "%ENEMY MOVE SPEED SLOW PER SECOND:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_buff_duration"                  "ALLY BUFF LINGER DURATION:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_debuff_duration"                "ENEMY SLOW LINGER DURATION:"
//"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_cone_starting_width"            ""
//"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_cone_ending_width"              ""
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_cone_distance"                  "DISTANCE:"
"DOTA_Tooltip_ability_bubble_witch_blow_bubbles_extend_duration_per_hit"        "BUBBLE EXTEND DURATION PER HIT:"

"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_caster"                        "Blowing Bubbles"
"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_caster_Description"            ""
"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_ally"                          "Bubble Shield"
"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_ally_Description"              "All-damage shield."
"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_enemy"                         "Bubble Slow"
"DOTA_Tooltip_modifier_bubble_witch_blow_bubbles_enemy_Description"             "Reduced move speed."

"DOTA_Tooltip_ability_bubble_witch_bubble_of_protection"                        "Bubble of Protection"
"DOTA_Tooltip_ability_bubble_witch_bubble_of_protection_Description"            "Creates a big bubble at target location that makes every non-ward unit inside of it invulnerable to damage. All-damage shield from Blow Bubbles is doubled for allied units inside the bubble."
"DOTA_Tooltip_ability_bubble_witch_bubble_of_protection_radius"                 "RADIUS:"
"DOTA_Tooltip_ability_bubble_witch_bubble_of_protection_duration"               "DURATION:"
"DOTA_Tooltip_ability_bubble_witch_bubble_of_protection_scepter_description"    "Knocks back all enemies inside of the bubble upon cast."

"DOTA_Tooltip_modifier_bubble_witch_bubble_of_protection_buff"                  "Bubble of Protection"
"DOTA_Tooltip_modifier_bubble_witch_bubble_of_protection_buff_Description"      "Invulnerable to damage."

"DOTA_Tooltip_ability_bubble_witch_innate"                                      "Bubbly"
"DOTA_Tooltip_ability_bubble_witch_innate_Description"                          "Buffs created by Bubble Witch that have duration will explode when they expire dealing damage to nearby enemies."
"DOTA_Tooltip_ability_bubble_witch_innate_base_dmg"                             "DAMAGE:"
"DOTA_Tooltip_ability_bubble_witch_innate_explode_dmg_radius"                   "EXPLODE RADIUS:"

"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_1"                      "+{s:bonus_dps} #{DOTA_Tooltip_ability_bubble_witch_blow_bubbles} DPS"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_2"                      "+{s:bonus_debuff_duration} #{DOTA_Tooltip_ability_bubble_witch_cavitation} Duration"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_3"                      "-{s:bonus_AbilityCooldown}s #{DOTA_Tooltip_ability_bubble_witch_cavitation} Cooldown"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_4"                      "#{DOTA_Tooltip_ability_bubble_witch_blow_bubbles} Applies To Caster Too"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_5"                      "-{s:bonus_AbilityCooldown}s #{DOTA_Tooltip_ability_bubble_witch_blow_bubbles} Cooldown"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_6"                      "+{s:bonus_AbilityCharges} #{DOTA_Tooltip_ability_bubble_witch_magic_bubble} Charge"
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_7"                      ""
"DOTA_Tooltip_ability_special_bonus_unique_bubble_witch_8"                      ""
