"npc_dota_hero_tinker"                                                          "Tinkerer"
// "DOTA_Tooltip_ability_tinker_rearm_Description"                                "CHANNELED - Resets the cooldown on most of Tinker's items and abilities."
// "DOTA_Tooltip_ability_tinker_rearm_Lore"                                       "A new battery here, another set of rockets there, Boush continually improves on existing technology."
// "DOTA_Tooltip_ability_tinker_rearm_Note0"                                      "Rearm works on all items except Aeon Disk, Arcane Boots, Black King Bar, Hand of Midas, Helm of the Dominator, Linken's Sphere, Meteor Hammer, Pipe of Insight, Tome of Knowledge, Refresher Orb, and any neutral items."
// "DOTA_Tooltip_ability_tinker_rearm_abilitychanneltime"                         "TIME TO REARM:"
// "DOTA_Tooltip_ability_tinker_defense_matrix"                                   "Defense Matrix"
// "DOTA_Tooltip_ability_tinker_defense_matrix_damage_absorb"                     "DAMAGE ABSORB:"
// "DOTA_Tooltip_ability_tinker_defense_matrix_status_resistance"                 "STATUS RESISTANCE:"
// "DOTA_Tooltip_ability_tinker_defense_matrix_barrier_duration"                  "DURATION:"
// "DOTA_Tooltip_ability_tinker_defense_matrix_Description"                       "Targets an allied unit, applying a barrier to them that blocks some damage and provides Status Resistance."
// "DOTA_Tooltip_ability_tinker_keen_teleport"                                    "Keen Conveyance"
// "DOTA_Tooltip_ability_tinker_keen_teleport_Lore"                               "As Boush likes to say, 'There is nothing the arcane can accomplish that the curious mind cannot reproduce given time. And proper funding, of course.'"
// "DOTA_Tooltip_ability_tinker_keen_teleport_Description"                        "After channeling for %abilitychanneltime%s teleport to a target friendly structure. Level 2 allows teleporting to friendly units and Level 3 to friendly heroes."

"DOTA_Tooltip_ability_tinkerer_smart_missiles"                                  "Smart Rockets"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_Description"                      "Target a location to shoot a rocket in that direction. The rocket will damage neutral creeps during travel and explode on the first player-controlled unit, slowing it briefly and dealing bonus damage. The bonus damage is based on the unit's max health and the traveled distance of the rocket. Rockets provide vision."
"DOTA_Tooltip_ability_tinkerer_smart_missiles_Lore"                             "The last contraption Boush was able to make was a retrofitted rocket launcher."
"DOTA_Tooltip_Ability_tinkerer_smart_missiles_Note0"                            "Rockets will explode on summoned units and Bosses."
"DOTA_Tooltip_ability_tinkerer_smart_missiles_base_damage"                      "BASE DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_bonus_hp_damage_max"              "%MAX BONUS DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_bonus_hp_damage_min"              "%MIN BONUS DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_slow_duration"                    "SLOW DURATION:"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_move_speed_slow"                  "%MOVE SPEED SLOW:"
"DOTA_Tooltip_ability_tinkerer_smart_missiles_bonus_damage_max_range"           "MAX BONUS DAMAGE RANGE:"

"DOTA_Tooltip_ability_tinkerer_oil_spill"                                       "Tar Spill"
"DOTA_Tooltip_ability_tinkerer_oil_spill_Description"                           "Target a location to smother enemy units in tar. Applies percentage movement and attack speed slow to all enemies in the target area when the tar projectile hits the ground. Enemy units covered in tar will ignite once they take any spell or item damage. Igniting will cause the unit to take %burn_dps% damage per second and increase the duration by %ignite_extra_duration% seconds."
"DOTA_Tooltip_ability_tinkerer_oil_spill_Lore"                                  "Tinkerer is a fan of tar and feathers prank."
"DOTA_Tooltip_ability_tinkerer_oil_spill_radius"                                "RADIUS:"
"DOTA_Tooltip_ability_tinkerer_oil_spill_duration"                              "DEBUFF DURATION:"
"DOTA_Tooltip_ability_tinkerer_oil_spill_move_speed_slow"                       "%MOVE SPEED SLOW:"
"DOTA_Tooltip_ability_tinkerer_oil_spill_attack_speed_slow"                     "%ATTACK SPEED SLOW:"
"DOTA_Tooltip_ability_tinkerer_oil_spill_burn_dps"                              "BURN DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_tinkerer_oil_spill_scepter_description"                   "Roots enemies for %scepter_root_duration% seconds."
"DOTA_Tooltip_ability_tinkerer_oil_spill_scepter_root_duration"                 "SCEPTER ROOT DURATION:"

"DOTA_Tooltip_ability_tinkerer_laser_oaa"                                       "#{DOTA_Tooltip_ability_tinker_laser}"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_Description"                           "Fires an intense energy beam, blinding and damaging the target and all enemy units around it. Damage on the enemy is based on their current health."
"DOTA_Tooltip_ability_tinkerer_laser_oaa_Lore"                                  "#{DOTA_Tooltip_ability_tinker_laser_Lore}"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_miss_rate"                             "#{DOTA_Tooltip_ability_tinker_laser_miss_rate}"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_duration_hero"                         "HERO BLIND DURATION:"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_duration_creep"                        "CREEP BLIND DURATION:"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_base_damage"                           "BASE DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_current_hp_damage_pct"                 "%CURRENT HEALTH AS DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_laser_oaa_radius"                                "RADIUS:"

"DOTA_Tooltip_ability_tinkerer_laser_contraption"                               "Keen Contraption"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_Description"                   "Creates a keen node trap that will damage all caught enemies every %damage_interval% seconds. Keen Nodes can be destroyed with normal attacks. Tinkerer and his allies can destroy Keen Nodes with just 1 attack."
"DOTA_Tooltip_ability_tinkerer_laser_contraption_Lore"                          "One of Tinkerer's inventions of which he is most proud is the keen node - though it is sometimes despised by his allies."
"DOTA_Tooltip_ability_tinkerer_laser_contraption_radius"                        "RADIUS:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_duration"                      "DURATION:"
//"DOTA_Tooltip_ability_tinkerer_laser_contraption_initial_damage"                "INITIAL DAMAGE:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_damage_per_second"             "DAMAGE PER SECOND:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_attacks_to_destroy"            "ATTACKS REQUIRED:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_scepter_description"           "Increases cast range and attacks required. Trapped enemies have reduced healing and hp regen (or all health restoration when Valve fixes it) by %scepter_heal_prevent_percent%%%. Applies Tar Spill every %scepter_tar_spill_interval% seconds or spawns 1 March of the Machines depending on the facet."
"DOTA_Tooltip_ability_tinkerer_laser_contraption_scepter_cast_range"            "SCEPTER CAST RANGE:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_scepter_heal_prevent_percent"  "%SCEPTER HEALTH RESTORATION REDUCTION:"
"DOTA_Tooltip_ability_tinkerer_laser_contraption_shard_description"             "Grants Laser ability: #{DOTA_Tooltip_ability_tinkerer_laser_oaa_Description}"

// modifiers
// "DOTA_Tooltip_modifier_tinker_laser_blind"                                     "Laser Blind"
// "DOTA_Tooltip_modifier_tinker_laser_blind_Description"                         "Missing %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of attacks."
// "DOTA_Tooltip_modifier_tinker_rearm"                                           "Rearm"
// "DOTA_Tooltip_modifier_tinker_rearm_Description"                               "Resetting ability cooldowns."
// "DOTA_Tooltip_modifier_tinker_defense_matrix"                                  "Defense Matrix"
// "DOTA_Tooltip_modifier_tinker_defense_matrix_Description"                      "Absorbs incoming damage and provides %dMODIFIER_PROPERTY_STATUS_RESISTANCE_STACKING%%% status resistance."
// "DOTA_Tooltip_modifier_tinker_warp_grenade"                                    "Warp Flare"
// "DOTA_Tooltip_modifier_tinker_warp_grenade_Description"                        "Cast range reduced by %dMODIFIER_PROPERTY_CAST_RANGE_BONUS_PERCENTAGE%%% and attack range reduced by %dMODIFIER_PROPERTY_ATTACK_RANGE_BONUS_PERCENTAGE%%% due to warp disorientation."

"DOTA_Tooltip_modifier_tinkerer_smart_missiles_stun"                            "#{DOTA_Tooltip_ability_tinkerer_smart_missiles}"
"DOTA_Tooltip_modifier_tinkerer_smart_missiles_stun_Description"                "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."

"DOTA_Tooltip_modifier_tinkerer_oil_spill_debuff"                               "Covered In Tar"
"DOTA_Tooltip_modifier_tinkerer_oil_spill_debuff_Description"                   "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed by %dMODIFIER_PROPERTY_ATTACKSPEED_PERCENTAGE%%%. If ignited, this unit will take %dMODIFIER_PROPERTY_TOOLTIP% damage."

"DOTA_Tooltip_modifier_tinkerer_laser_contraption_debuff"                       "Keen Contraption (Scepter)"
"DOTA_Tooltip_modifier_tinkerer_laser_contraption_debuff_Description"           "All health restoration reduced by %dMODIFIER_PROPERTY_HEAL_AMPLIFY_PERCENTAGE_TARGET%%%."

"DOTA_Tooltip_modifier_tinkerer_laser_oaa_debuff"                               "#{DOTA_Tooltip_modifier_tinker_laser_blind}"
"DOTA_Tooltip_modifier_tinkerer_laser_oaa_debuff_Description"                   "#{DOTA_Tooltip_modifier_tinker_laser_blind_Description}"

// talents
"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_1"                          "+{s:multishot_count} Multishot Rockets"
"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_1_Description"              "The extra rockets are launched in a cone shape, 30 degrees to the left and right of the original rocket, and can hit the same target."

"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_2"                          "+{s:bonus_base_damage} Rocket Damage"

"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_3"                          "Rockets Explode On Impact"
"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_3_Description"              "Rockets will slow and damage all enemies in a {s:bonus_explode_radius} radius around the hit unit."

"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_4"                          "+{s:bonus_duration}s Tar Spill Duration"

"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_5"                          "+{s:bonus_move_speed_slow}/{s:bonus_attack_speed_slow}% Tar Spill Move/Attack Speed Slow"
"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_5_facet_tinker_repair_bots"  "+{s:bonus_heal_duration}s March of the Machines Heal Duration"

"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_6"                          "+{s:bonus_burn_dps} Tar Spill Burn Damage"
"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_6_facet_tinker_repair_bots"  "-{s:bonus_AbilityCooldown}s March of the Machines Cooldown"

"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_7"                          "+{s:bonus_damage_amp}% Tar Spill All Damage Amp"
"DOTA_Tooltip_Ability_special_bonus_unique_tinkerer_7_facet_tinker_repair_bots"  "+{s:bonus_damage} March of the Machines Damage"

"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_8"                          "Keen Contraption Applies Tar Spill"

"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_9"                          "Keen Contraption Heals Allies"
"DOTA_Tooltip_ability_special_bonus_unique_tinkerer_9_Description"              "Heals Tinkerer and his allies that are inside the contraption for {s:value}% of the damage."

"DOTA_Tooltip_facet_tinker_repair_bots"                                         "#{DOTA_Tooltip_ability_tinker_march_of_the_machines}"
"DOTA_Tooltip_facet_tinker_repair_bots_Description"                             "Replaces the ability <b>Tar Spill</b> with <b>March of the Machines</b>. March of the Machines will apply a non-stacking heal over time when passing through allied heroes."
