"npc_dota_hero_electrician"                                                     "Chatterjee"
"DOTA_Tooltip_modifier_electrician_cleansing_shock_enemy"                       "Shocked"
"DOTA_Tooltip_modifier_electrician_cleansing_shock_enemy_Description"           "Move speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% and attack speed reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, decaying over time."

// talents
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_1_oaa"                   "+{s:bonus_mana_absorb_percentage}% Energy Absorption Max Mana Absorbed"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_static_grip_damage"      "+{s:bonus_damage_per_second}% Static Grip Damage"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_electric_shield_damage"  "+{s:bonus_aura_damage} Electric Shield Damage"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_6_oaa"                   "+{s:bonus_radius} Energy Absorption Radius"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_2_oaa"                   "+{s:value}s Cleansing Shock Mini-Stun"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_static_grip_attacks"     "Static Grip Attacks"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_static_grip_attacks_Description"  "Enemies affected by Static Grip are attacked at a rate equal to {s:bonus_attack_speed_pct}% of #{npc_dota_hero_electrician}'s attack rate. Attacks are not limited to #{npc_dota_hero_electrician}'s attack range."
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_7_oaa"                   "Static Grip Pseudo Channel"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_7_oaa_Description"       "#{npc_dota_hero_electrician} can act freely during Static Grip but silences and stuns still stop Static Grip."
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_3_oaa"                   "Cleansing Shock Pierces Spell Immunity"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_8_oaa"                   "+{s:bonus_damage} Energy Absorption Damage"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_9_oaa"                   "Cleansing Shock Deals Damage"
"DOTA_Tooltip_Ability_special_bonus_unique_electrician_9_oaa_Description"       "Damage is equal to {s:base_dmg} + {s:value}% of target's current health. Damage type is PURE."

"DOTA_Tooltip_facet_electrician_alternating_current"                            "Alternating Current"
"DOTA_Tooltip_facet_electrician_alternating_current_Description"                "Grants Electric Shield damage as bonus attack damage but increases cooldown and reduces duration."
"DOTA_Tooltip_Facet_electrician_kinetic_grip"                                   "Kinetic Grip"
"DOTA_Tooltip_Facet_electrician_kinetic_grip_Description"                       "#{npc_dota_hero_electrician} can act freely during Static Grip but silences and stuns can still stop Static Grip."

"DOTA_Tooltip_Ability_electrician_battery_powered"                              "Battery Powered"
"DOTA_Tooltip_Ability_electrician_battery_powered_Description"                  "#{npc_dota_hero_electrician}'s maximum mana can never be below her maximum health."

"electrician_cannot_activate_shield_while_nullified"                            "Cannot cast Electric Shield while being purged"
