"dota_tip_introduction_1"       "There are multiple neutral camps on the map, don't farm only 4 camps in your base the whole time."
"dota_tip_intermediate_23"      "You are behind in lower tier upgrade cores? Find a Wanderer boss and kill him or kill a higher tier boss and use Core Fission on higher tier upgrade cores."
"dota_tip_intermediate_24"      "Some items like Scythe of Vyse and Aeon Disk are high tier items because they are powerful. High tier items cannot be bought without upgrading less powerful items first."
"dota_tip_intermediate_27"      "Most items in Open Angel Arena have 5 levels. Some items like Dagon and Necronomicon have more, but Hand of Midas and most custom items have less."
"dota_tip_intermediate_28"      "You should kill at least 1 boss before 12 minute mark unless you are winning with a big score difference."
"dota_tip_intermediate_31"      "Illusions and creeps will not dispel Smoke of Deceit, only enemy Heroes will."
"dota_tip_intermediate_34"      "Shrines cannot reveal invisible units or wards."
"dota_tip_intermediate_35"      "You cannot buyback in Open Angel Arena."
"dota_tip_intermediate_37"      "Some bosses like Shielder require teamwork to be killed."
"dota_tip_intermediate_38"      "Hero illusions can be used for tanking bosses."
"dota_tip_intermediate_43"      "Higher tier bosses are more powerful than the lower tier bosses."
"dota_tip_intermediate_46"      "You can take enemy Capture Points and gain points for your team."
"dota_tip_intermediate_52"      "If you don't capture a point after killing a boss you will not gain an Upgrade Core."
"dota_tip_intermediate_55"      "Almost every boss has 25 armor and -50%% magic resistance. They also start bleeding for 1%% of their max HP when damaged."
"dota_tip_intermediate_56"      "Bounty Runes provide gold and experience to the entire team regardless of which hero picks them up."
"dota_tip_intermediate_58"      "You cannot buyback in Open Angel Arena."
"dota_tip_intermediate_60"      "Farming can be dangerous! You may want to buy and place a few wards to prevent enemy attempts to ambush you."
"dota_tip_intermediate_62"      "If all enemy heroes have vanished from the minimap, they may be trying to slay a Wanderer, or setting up an ambush."
"dota_tip_intermediate_65"      "Scan will alarm you if enemy heroes are in a targetted location for a brief period. Scan also reveals invisible enemy units and heroes but not wards."
"dota_tip_intermediate_75"      "Killing Neutral creeps will give a 35%% of the gold bounty to all allied heroes in 1500 radius."
"dota_tip_intermediate_76"      "The first Wanderer kill will give two tier 2 upgrade cores. The second Wanderer kill will give two tier 3 cores. The third Wanderer kill will give 10 points."
"dota_tip_intermediate_77"      "Every Wanderer kill will give everyone on your team a buff (bonus cooldown reduction, bonus damage and bonus movement speed). This buff doesn't work in duels."

//ADVANCED PAUSE TIPS
"dota_tip_advanced_1"           "Reliable Gold is earned from killing Heroes or Couriers, and from using Hand of Midas. All other earnings are Unreliable Gold, which can be lost upon death."
"dota_tip_advanced_2"           "Azazel's Scout, unit that can be purchased from the Azazel shop, has flying vision and true sight. Azazel's Scout is also immune to magic damage."
"dota_tip_advanced_10"          "You cannot buyback in Open Angel Arena."
"dota_tip_advanced_11"          "You can glyph/poop wards even while dead. Ward will drop at your death location."
"dota_tip_advanced_18"          "If you know you are about to die, consider entering a neutral creep camp, or going to a boss, and letting them kill you instead. This will deny the enemy team the gold and experience earned from your death."
"dota_tip_advanced_19"          "Bosses start regenerating rapidly to full health if not damaged for 5 seconds."
"dota_tip_advanced_25"          "Surplus Upgrade Cores can be sold, used at the Score Shrine or used in Azazel's shop in exchange for Elixirs and Summons."
"dota_tip_advanced_28"          "Sometimes you do not need to kill bosses to win the game."
"dota_tip_advanced_29"          "Warriors summoned by using Necronomicon level 3 or higher have True Sight."
"dota_tip_advanced_32"          "Cleave damage is physical damage and is mitigated by armor."
"dota_tip_advanced_33"          "Shielder boss takes damage only when damaged from behind."
"dota_tip_advanced_34"          "Charger boss becomes stunned and takes more damage if he charges into a tower."
"dota_tip_advanced_35"          "Some tier 3, 4 and 5 bosses have immunity to most disables (stuns, silences, slows etc.)"
"dota_tip_advanced_36"          "You cannot stay for long in the enemy base. Enemy base on the highground apply offside penalty to intruders, killing those that stay for too long. You cannot fountain camp the enemy team so easily."
"dota_tip_advanced_41"          "Items which generate an aura that applies to friendly creeps can be toggled off which then only applies the aura to nearby heroes."

//HERO SPECIFIC TIPS
"dota_tip_hero_silencer_1"                 "Silencer's Glaives of Wisdom deals magic damage in Open Angel Arena, which can be mitigated with magic resistance or spell immunity, unless Silencer has an Aghanim's Scepter."
"dota_tip_hero_obsidian_destroyer_1"       "Outworld Devourer's Arcane Orb deals magic damage in Open Angel Arena, which can be mitigated with magic resistance or spell immunity."

"dota_tip_hero_dragon_knight_1"            "Dragon Knight's Elder Dragon Form Corrosive Breath is stronger in Open Angel Arena."
"dota_tip_hero_dragon_knight_2"            "Dragon Knight's Breathe Fire damage reduction is very effective tool when trading attacks with an opponent or mitigating an enemy's ability to farm."

"dota_tip_hero_mirana_1"                   "Mirana's Sacred Arrow will fly through units friendly to Mirana and through enemy units with her level 10 talent."
