//=============================================================================
// Game Options UI
//=============================================================================
"game_options_host"                                                             "Host:"
"DOTA_Tooltip_modifier_courier_kill_bonus_all_stats_oaa_Description"            "+15 all stats per stack"
"DOTA_Tooltip_modifier_double_multiplier_oaa"                                   "#{game_option_double_multiplier}"
"DOTA_Tooltip_modifier_double_multiplier_oaa_Description"                       "Every ability number is multiplied by 2. Doesn't work for items."
"DOTA_Tooltip_modifier_true_sight_strike_oaa"                                   "Keeper of the Truth"
"DOTA_Tooltip_modifier_true_sight_strike_oaa_Description"                       "True Sight, True Strike and illusions can't fool you."
"DOTA_Tooltip_modifier_mr_phys_weak_oaa"                                        "Fate's Weakness"
"DOTA_Tooltip_modifier_mr_phys_weak_oaa_Description"                            "+75%% magic resistance but you take 50%% more physical damage."
"DOTA_Tooltip_modifier_angel_oaa"                                               "Angel's Wings"
"DOTA_Tooltip_modifier_angel_oaa_Description"                                   "Flying movement and vision, +200 vision range, +30%% move speed, -30%% status resistance."
"DOTA_Tooltip_modifier_hero_anti_stun_oaa"                                      "#{game_option_white_queen}"
"DOTA_Tooltip_modifier_hero_anti_stun_oaa_Description"                          "Debuff Protection and 50%% damage reduction while casting or channelling an ability."
"DOTA_Tooltip_modifier_roshan_power_oaa"                                        "Roshan's Body"
"DOTA_Tooltip_modifier_roshan_power_oaa_Description"                            "You gain Roshan's Spell Block (15s cooldown, 25%% status resistance), Roshan's Bash (15%% chance to stun for 1.65s on attack and deal 50 magic damage) and you gain 6 attack damage per minute."
"DOTA_Tooltip_modifier_roshan_bash_oaa"                                         "Bashed"
"DOTA_Tooltip_modifier_titan_soul_oaa"                                          "#{game_option_titan_soul}"
"DOTA_Tooltip_modifier_titan_soul_oaa_Description"                              "#{game_option_titan_soul_description}"
"DOTA_Tooltip_modifier_hybrid_oaa"                                              "#{game_option_hybrid}"
"DOTA_Tooltip_modifier_hybrid_oaa_Description"                                  "+3%% spell amp for each attack made, +2 attack damage x spell cooldown for each spell cast. Buffs last 6 seconds if not refreshed."
"DOTA_Tooltip_modifier_hybrid_dmg_stack_oaa"                                    "Hybrid Damage Stacks"
"DOTA_Tooltip_modifier_hybrid_spell_amp_stack_oaa"                              "Hybrid Spell Amp Stacks"
"DOTA_Tooltip_modifier_drunk_oaa"                                               "#{game_option_drunk}"
"DOTA_Tooltip_modifier_drunk_oaa_Description"                                   "15%% chance to do 3x critical damage on each attack and spell damage instance. 15%% chance to avoid any damage. 15%% chance to miss a spell and moves randomly when idle."
"DOTA_Tooltip_modifier_any_damage_splash_oaa"                                   "#{game_option_splasher}"
"DOTA_Tooltip_modifier_any_damage_splash_oaa_Description"                       "#{game_option_splasher_description}"
"DOTA_Tooltip_modifier_glass_cannon_oaa"                                        "Glass Cannon"
"DOTA_Tooltip_modifier_glass_cannon_oaa_Description"                            "You have no strength, +500 attack damage."
"DOTA_Tooltip_modifier_duelist_oaa"                                             "Duelist"
"DOTA_Tooltip_modifier_duelist_oaa_Description"                                 "Dealing 35%% more damage during Duels (affects all damage). Taking 35%% less damage when not in a Duel."
"DOTA_Tooltip_modifier_boss_killer_oaa"                                         "Boss Killer"
"DOTA_Tooltip_modifier_boss_killer_oaa_Description"                             "Dealing 85%% more damage to Bosses. Taking 50%% less damage from Bosses."
